station,city,latitude,longitude,PM2.5,PM10,NO2,SO2,CO,overall_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,hour,target_aqi_next_6h,timestamp
"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,19.07,72.86,112.0,126.0,70.0,5.0,11.0,126.0,26.3,70,6.5,304,1012.0,12,126.0,2026-02-13T12:17:06.460076
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,12.95,77.54,35.0,0.0,98.0,21.0,32.0,98.0,29.4,21,14.4,89,921.9,12,98.0,2026-02-13T12:17:06.460076
"Bapunagar, Vadodara - Nexteng Enviro",Vadodara,22.32,73.22,247.0,140.0,16.0,7.0,126.0,247.0,33.0,40,6.1,87,1009.6,12,247.0,2026-02-13T12:17:06.460076
"Bardowali, Agartala - Tripura SPCB",Agartala,23.82,91.27,40.0,43.0,13.0,8.0,23.0,43.0,27.0,48,7.2,333,1011.1,12,43.0,2026-02-13T12:17:06.460076
"Barsua Iron Ore Mines, Tensa - OSPCB",Tensa,21.87,85.17,80.0,72.0,0.0,0.0,32.0,80.0,28.3,22,9.7,318,926.9,12,80.0,2026-02-13T12:17:06.460076
"Bata Chowk, Nalbari - PCBA",Nalbari,26.45,91.44,127.0,106.0,14.0,8.0,21.0,127.0,25.8,56,7.6,239,1007.7,12,127.0,2026-02-13T12:17:06.460076
"Bawana, Delhi - DPCC",Delhi,28.78,77.05,210.0,153.0,0.0,14.0,62.0,210.0,21.0,64,7.1,285,990.3,12,210.0,2026-02-13T12:17:06.460076
"Belur Math, Howrah - WBPCB",Howrah,22.63,88.35,143.0,167.0,85.0,21.0,38.0,167.0,26.4,48,7.4,346,1013.3,12,167.0,2026-02-13T12:17:06.460076
"Bhatagaon New ISBT, Raipur - CECB",Raipur,21.22,81.63,0.0,0.0,0.0,22.0,80.0,80.0,29.2,34,5.5,79,982.6,12,80.0,2026-02-13T12:17:06.460076
"Bhayandar West, Mira-Bhayandar - MPCB",Mira-Bhayandar,19.3,72.84,108.0,118.0,52.0,15.0,52.0,118.0,28.2,55,7.1,311,1013.2,12,118.0,2026-02-13T12:17:06.460076
"Bhelupur, Varanasi - UPPCB",Varanasi,25.3,83.0,127.0,97.0,8.0,28.0,25.0,127.0,25.3,58,7.1,294,1006.0,12,127.0,2026-02-13T12:17:06.460076
"Bhoiwada, Dungarpur - RSPCB",Dungarpur,23.84,73.71,0.0,122.0,27.0,7.0,32.0,122.0,27.6,49,10.1,96,983.3,12,122.0,2026-02-13T12:17:06.460076
"Bhopal Chauraha, Dewas - MPPCB",Dewas,22.97,76.06,99.0,122.0,100.0,41.0,22.0,122.0,27.8,42,2.5,98,944.0,12,122.0,2026-02-13T12:17:06.460076
"Bhosari, Pune - IITM",Pune,18.64,73.85,142.0,0.0,0.0,0.0,63.0,142.0,29.6,33,11.1,103,948.8,12,142.0,2026-02-13T12:17:06.460076
"Bidhannagar, Kolkata - WBPCB",Kolkata,22.58,88.41,128.0,109.0,13.0,11.0,53.0,128.0,26.4,48,7.4,346,1013.8,12,128.0,2026-02-13T12:17:06.460076
"Bolinj, Virar - MPCB",Virar,19.45,72.8,136.0,150.0,53.0,14.0,66.0,150.0,25.7,74,9.3,324,1012.4,12,150.0,2026-02-13T12:17:06.460076
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,17.54,78.36,108.0,117.0,37.0,9.0,44.0,117.0,29.1,34,10.6,114,949.4,12,117.0,2026-02-13T12:17:06.460076
"Borivali East, Mumbai - IITM",Mumbai,19.23,72.87,96.0,112.0,84.0,0.0,0.0,112.0,28.0,55,7.1,311,1008.1,12,112.0,2026-02-13T12:17:06.460076
"Borivali East, Mumbai - MPCB",Mumbai,19.22,72.87,42.0,61.0,0.0,16.0,17.0,61.0,28.1,55,7.1,311,1010.4,12,61.0,2026-02-13T12:17:06.460076
"Botanical Garden, Howrah - WBPCB",Howrah,22.55,88.29,95.0,98.0,56.0,14.0,52.0,98.0,27.4,43,8.2,345,1014.6,12,98.0,2026-02-13T12:17:06.460076
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,26.11,85.4,117.0,103.0,35.0,5.0,26.0,117.0,25.5,42,7.2,267,1008.6,12,117.0,2026-02-13T12:17:06.460076
"Buddhi Vihar, Moradabad - UPPCB",Moradabad,28.84,78.74,47.0,68.0,29.0,29.0,38.0,68.0,21.0,67,7.6,267,993.1,12,68.0,2026-02-13T12:17:06.460076
"Burari Crossing, Delhi - IMD",Delhi,28.73,77.2,187.0,155.0,104.0,0.0,44.0,187.0,21.4,60,7.3,281,992.3,12,187.0,2026-02-13T12:17:06.460076
"CBD Belapur, Belapur - MPCB",Belapur,19.02,73.04,142.0,156.0,28.0,19.0,35.0,156.0,30.0,49,4.6,309,1012.7,12,156.0,2026-02-13T12:17:06.460076
"CDA Area, Cuttack - OSPCB",Cuttack,20.49,85.85,181.0,172.0,42.0,7.0,59.0,181.0,30.6,34,2.5,135,1012.4,12,181.0,2026-02-13T12:17:06.460076
"CRRI Mathura Road, Delhi - IMD",Delhi,28.55,77.27,145.0,156.0,34.0,0.0,47.0,156.0,21.4,55,7.5,287,990.8,12,156.0,2026-02-13T12:17:06.460076
"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,26.07,91.87,165.0,98.0,8.0,31.0,54.0,165.0,26.1,53,7.4,321,1005.9,12,165.0,2026-02-13T12:17:06.460076
"Central University, Hyderabad - TSPCB",Hyderabad,17.46,78.33,61.0,47.0,31.0,11.0,33.0,61.0,29.0,34,10.6,114,948.8,12,61.0,2026-02-13T12:17:06.460076
"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11,72.86,125.0,122.0,76.0,9.0,29.0,125.0,26.2,70,6.5,304,1010.8,12,125.0,2026-02-13T12:17:06.460076
"Chandkheda, Ahmedabad - IITM",Ahmedabad,23.11,72.57,113.0,146.0,44.0,17.0,30.0,146.0,31.6,35,4.7,94,1007.8,12,146.0,2026-02-13T12:17:06.460076
"Chandni Chowk, Delhi - IITM",Delhi,28.66,77.23,182.0,169.0,30.0,26.0,87.0,182.0,21.9,51,7.5,287,991.2,12,182.0,2026-02-13T12:17:06.460076
"Charitra Van, Buxar - BSPCB",Buxar,25.57,83.97,74.0,74.0,9.0,33.0,24.0,74.0,25.1,48,8.0,288,1007.6,12,74.0,2026-02-13T12:17:06.460076
"Chauhan Colony, Chandrapur - MPCB",Chandrapur,19.96,79.3,74.0,139.0,30.0,38.0,20.0,139.0,31.2,40,4.8,117,992.5,12,139.0,2026-02-13T12:17:06.460076
"Chembur, Mumbai - MPCB",Mumbai,19.04,72.9,76.0,104.0,44.0,14.0,74.0,104.0,26.2,70,6.5,304,1011.1,12,104.0,2026-02-13T12:17:06.460076
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,19.1,72.87,121.0,125.0,1.0,21.0,0.0,125.0,26.3,70,6.5,304,1011.9,12,125.0,2026-02-13T12:17:06.460076
"Chhoti Gwaltoli, Indore - MPPCB",Indore,22.43,75.52,125.0,126.0,166.0,25.0,40.0,166.0,29.0,41,10.6,145,964.1,12,166.0,2026-02-13T12:17:06.460076
"Chitragupta Nagar, Siwan - BSPCB",Siwan,26.23,84.36,60.0,87.0,2.0,7.0,65.0,87.0,25.0,44,9.5,279,1007.5,12,87.0,2026-02-13T12:17:06.460076
"Christianpatty, Nagaon - PCBA",Nagaon,26.35,92.68,114.0,103.0,1.0,11.0,19.0,114.0,26.3,55,6.4,286,1006.2,12,114.0,2026-02-13T12:17:06.460076
"City Center, Gwalior - MPPCB",Gwalior,26.2,78.19,176.0,125.0,45.0,12.0,49.0,176.0,25.8,53,5.8,292,991.2,12,176.0,2026-02-13T12:17:06.460076
"City Railway Station, Bengaluru - KSPCB",Bengaluru,12.98,77.57,0.0,101.0,34.0,19.0,74.0,101.0,28.8,21,11.9,85,916.2,12,101.0,2026-02-13T12:17:06.460076
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,21.19,81.34,58.0,67.0,11.0,9.0,33.0,67.0,29.4,34,6.3,77,981.6,12,67.0,2026-02-13T12:17:06.460076
"Civil Line, Jalandhar - PPCB",Jalandhar,31.32,75.58,66.0,108.0,37.0,17.0,64.0,108.0,21.3,60,4.4,305,988.1,12,108.0,2026-02-13T12:17:06.460076
"Civil Lines,  Ajmer - RSPCB",Ajmer,26.47,74.65,74.0,108.0,30.0,6.0,22.0,108.0,26.7,27,8.0,275,961.3,12,108.0,2026-02-13T12:17:06.460076
"Civil Lines, Bareilly - UPPCB",Bareilly,28.36,79.41,17.0,44.0,2.0,49.0,45.0,49.0,21.5,64,8.0,262,995.3,12,49.0,2026-02-13T12:17:06.460076
"Civil Lines, Sagar - MPPCB",Sagar,23.84,78.76,113.0,87.0,28.0,10.0,30.0,113.0,26.9,40,4.7,270,954.6,12,113.0,2026-02-13T12:17:06.460076
"Colaba, Mumbai - MPCB",Mumbai,18.91,72.82,80.0,93.0,0.0,0.0,68.0,93.0,28.1,56,5.6,315,1011.7,12,93.0,2026-02-13T12:17:06.460076
"Collector Office, Yadgir - KSPCB",Yadgir,16.76,77.14,82.0,97.0,23.0,0.0,20.0,97.0,29.2,32,11.1,119,972.7,12,97.0,2026-02-13T12:17:06.460076
"Collectorate, Gaya - BSPCB",Gaya,24.8,85.0,75.0,0.0,9.0,0.0,0.0,75.0,25.7,46,8.4,317,1002.5,12,75.0,2026-02-13T12:17:06.460076
"Collectorate, Jodhpur - RSPCB",Jodhpur,26.27,73.02,54.0,56.0,18.0,7.0,34.0,56.0,27.6,24,1.5,76,989.6,12,56.0,2026-02-13T12:17:06.460076
"Corporation Ground, Thrissur - Kerala PCB",Thrissur,10.53,76.22,66.0,76.0,7.0,0.0,9.0,76.0,34.9,37,14.8,76,1008.4,12,76.0,2026-02-13T12:17:06.460076
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,25.2,85.51,77.0,61.0,9.0,10.0,62.0,77.0,25.3,52,6.8,295,1009.1,12,77.0,2026-02-13T12:17:06.460076
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,25.25,86.99,0.0,61.0,0.0,0.0,18.0,61.0,25.4,53,7.1,311,1008.9,12,61.0,2026-02-13T12:17:06.460076
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,25.86,85.78,76.0,74.0,8.0,28.0,9.0,76.0,25.1,49,5.4,278,1009.5,12,76.0,2026-02-13T12:17:06.460076
"DRM Office Danapur, Patna - BSPCB",Patna,25.59,85.04,113.0,117.0,50.0,6.0,33.0,117.0,24.9,50,7.3,290,1009.6,12,117.0,2026-02-13T12:17:06.460076
"DTU, Delhi - CPCB",Delhi,28.75,77.11,205.0,139.0,31.0,31.0,44.0,205.0,21.3,62,7.3,281,991.3,12,205.0,2026-02-13T12:17:06.460076
"Dabuna, Nayagarh - OSPCB",Nayagarh,21.85,85.42,42.0,145.0,9.0,8.0,22.0,145.0,28.5,23,15.1,308,958.3,12,145.0,2026-02-13T12:17:06.460076
"Dada Peer, Sasaram - BSPCB",Sasaram,24.95,84.0,0.0,0.0,0.0,0.0,51.0,51.0,26.8,41,10.7,312,1003.5,12,51.0,2026-02-13T12:17:06.460076
"Dangi Tola, Rajgir - BSPCB",Rajgir,25.03,85.42,52.0,55.0,9.0,21.0,88.0,88.0,25.8,51,7.4,299,1007.3,12,88.0,2026-02-13T12:17:06.460076
"Darshan Nagar, Chhapra - BSPCB",Chhapra,25.78,84.74,82.0,101.0,1.0,27.0,53.0,101.0,24.8,48,8.0,288,1008.8,12,101.0,2026-02-13T12:17:06.460076
"Dasnagar, Howrah - WBPCB",Howrah,22.6,88.31,82.0,107.0,53.0,27.0,53.0,107.0,26.2,52,8.0,350,1013.9,12,107.0,2026-02-13T12:17:06.460076
"Deen Dayal Nagar, Gwalior - MPPCB",Gwalior,26.26,78.22,198.0,203.0,26.0,9.0,41.0,203.0,25.9,53,5.8,292,993.3,12,203.0,2026-02-13T12:17:06.460076
"Deen Dayal Nagar, Sagar - MPPCB",Sagar,23.86,78.8,79.0,94.0,18.0,6.0,17.0,94.0,27.0,40,4.7,270,956.6,12,94.0,2026-02-13T12:17:06.460076
"Deonar, Mumbai - IITM",Mumbai,19.05,72.92,98.0,136.0,42.0,5.0,61.0,136.0,26.2,70,6.5,304,1011.8,12,136.0,2026-02-13T12:17:06.460076
"Deopur, Dhule - MPCB",Dhule,20.92,74.78,112.0,123.0,16.0,4.0,30.0,123.0,30.9,40,11.2,88,984.9,12,123.0,2026-02-13T12:17:06.460076
"Dhankawadi, Pune - IITM",Pune,18.46,73.85,97.0,133.0,69.0,0.0,63.0,133.0,30.8,32,10.1,94,942.5,12,133.0,2026-02-13T12:17:06.460076
"Dhanmandi, Kota - RSPCB",Kota,25.16,75.86,115.0,143.0,64.0,10.0,39.0,143.0,26.9,44,2.3,162,985.6,12,143.0,2026-02-13T12:17:06.460076
"Dhoinda, Rajsamand - RSPCB",Rajsamand,25.04,73.88,0.0,103.0,29.0,12.0,0.0,103.0,26.9,41,6.3,204,955.6,12,103.0,2026-02-13T12:17:06.460076
"Digari Kalan, Jodhpur - RSPCB",Jodhpur,26.3,73.08,56.0,104.0,30.0,4.0,22.0,104.0,25.9,33,1.3,56,990.8,12,104.0,2026-02-13T12:17:06.460076
"Divisional Forest Office, Rairangpur - OSPCB",Rairangpur,22.27,86.17,62.0,113.0,11.0,8.0,27.0,113.0,27.3,30,8.0,355,986.3,12,113.0,2026-02-13T12:17:06.460076
"Dnyaneshwar Nagar, Solapur - MPCB",Solapur,17.63,75.91,76.0,90.0,24.0,7.0,24.0,90.0,29.1,36,7.7,143,959.5,12,90.0,2026-02-13T12:17:06.460076
"Doon University, Dehradun - UKPCB",Dehradun,30.27,78.04,157.0,100.0,2.0,2.0,6.0,157.0,20.9,65,9.2,228,946.7,12,157.0,2026-02-13T12:17:06.460076
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.5,77.26,175.0,147.0,30.0,18.0,42.0,175.0,21.2,55,7.5,287,986.8,12,175.0,2026-02-13T12:17:06.460076
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,28.57,77.07,197.0,182.0,80.0,27.0,66.0,197.0,21.3,61,7.4,284,991.3,12,197.0,2026-02-13T12:17:06.460076
"ECIL Kapra, Hyderabad - TSPCB",Hyderabad,17.47,78.57,40.0,77.0,29.0,9.0,20.0,77.0,28.4,36,11.6,120,953.4,12,77.0,2026-02-13T12:17:06.460076
"Eco Herbal Park, Moradabad - UPPCB",Moradabad,28.84,78.7,81.0,79.0,38.0,12.0,46.0,81.0,21.0,67,7.6,267,993.5,12,81.0,2026-02-13T12:17:06.460076
"Employment Office, Moradabad - UPPCB",Moradabad,28.89,78.74,82.0,92.0,16.0,25.0,24.0,92.0,21.0,67,7.6,267,993.1,12,92.0,2026-02-13T12:17:06.460076
"Evelyn Lodge, Asansol - WBPCB",Asansol,23.7,86.94,94.0,108.0,30.0,7.0,78.0,108.0,26.9,34,7.9,357,1000.8,12,108.0,2026-02-13T12:17:06.460076
"FTI Kidwai Nagar, Kanpur - UPPCB",Kanpur,26.43,80.33,60.0,102.0,27.0,14.0,41.0,102.0,23.7,51,8.7,300,1001.2,12,102.0,2026-02-13T12:17:06.460076
"Ferro Chrome Colony, Byasanagar - OSPCB",Byasanagar,20.94,86.12,159.0,136.0,22.0,6.0,42.0,159.0,30.1,33,1.6,243,1010.9,12,159.0,2026-02-13T12:17:06.460076
"Fertilizer Township, Rourkela - OSPCB",Rourkela,22.19,84.86,116.0,107.0,0.0,9.0,22.0,116.0,28.1,25,3.5,24,991.4,12,116.0,2026-02-13T12:17:06.460076
"Forest Office, Barbil - OSPCB",Barbil,22.12,85.39,96.0,127.0,32.0,17.0,52.0,127.0,29.2,20,10.6,325,964.3,12,127.0,2026-02-13T12:17:06.460076
"Fort William, Kolkata - WBPCB",Kolkata,22.56,88.34,121.0,105.0,67.0,14.0,50.0,121.0,26.6,46,7.5,343,1013.3,12,121.0,2026-02-13T12:17:06.460076
"GIDC, Ankleshwar - GPCB",Ankleshwar,21.61,73.01,166.0,142.0,22.0,28.0,87.0,166.0,30.6,48,4.3,24,1011.1,12,166.0,2026-02-13T12:17:06.460076
"GIFT City, Gandhinagar - IITM",Gandhinagar,23.16,72.68,111.0,154.0,38.0,7.0,31.0,154.0,31.6,35,4.7,94,1008.3,12,154.0,2026-02-13T12:17:06.460076
"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,21.8,83.84,66.0,83.0,0.0,20.0,45.0,83.0,27.0,41,8.0,108,991.2,12,83.0,2026-02-13T12:17:06.460076
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,17.72,83.3,132.0,195.0,106.0,15.0,42.0,195.0,31.9,28,8.1,111,1011.9,12,195.0,2026-02-13T12:17:06.460076
"Gandak Colony, Motihari - BSPCB",Motihari,26.63,84.9,82.0,86.0,9.0,3.0,34.0,86.0,25.1,49,5.0,240,1007.4,12,86.0,2026-02-13T12:17:06.460076
"Ganga Nagar, Meerut - UPPCB",Meerut,29.0,77.76,80.0,106.0,38.0,27.0,86.0,106.0,21.6,58,8.7,277,990.0,12,106.0,2026-02-13T12:17:06.460076
"Gangapur Road, Nashik - MPCB",Nashik,20.01,73.78,68.0,98.0,5.0,3.0,22.0,98.0,29.8,34,10.0,116,951.6,12,98.0,2026-02-13T12:17:06.460076
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,13.2,79.1,64.0,63.0,14.0,14.0,70.0,70.0,28.4,39,13.4,76,978.4,12,70.0,2026-02-13T12:17:06.460076
"Gavalinagar, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,18.64,73.82,0.0,111.0,62.0,2.0,65.0,111.0,29.5,33,11.1,103,948.4,12,111.0,2026-02-13T12:17:06.460076
"General Hospital, Mandikhera(Nuh) - HSPCB",Mandikhera,27.9,76.99,126.0,116.0,21.0,34.0,72.0,126.0,23.1,47,8.0,288,993.6,12,126.0,2026-02-13T12:17:06.460076
"Ghatkopar, Mumbai - BMC",Mumbai,19.08,72.92,104.0,128.0,0.0,2.0,40.0,128.0,26.3,70,6.5,304,1012.6,12,128.0,2026-02-13T12:17:06.460076
"Ghusuri, Howrah - WBPCB",Howrah,22.61,88.35,234.0,170.0,25.0,13.0,90.0,234.0,26.4,48,7.4,346,1013.8,12,234.0,2026-02-13T12:17:06.460076
"Girls College, Sivasagar - PCBA",Sivasagar,26.99,94.64,60.0,60.0,46.0,13.0,46.0,60.0,27.2,49,3.8,287,1002.4,12,60.0,2026-02-13T12:17:06.460076
"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,30.15,77.29,125.0,0.0,37.0,12.0,39.0,125.0,21.7,62,9.5,281,982.6,12,125.0,2026-02-13T12:17:06.460076
"Gokul Nagar, Bhiwandi - MPCB",Bhiwandi,19.31,73.06,115.0,140.0,32.0,10.0,57.0,140.0,32.1,38,4.2,329,1012.7,12,140.0,2026-02-13T12:17:06.460076
"Golden Temple, Amritsar - PPCB",Amritsar,31.62,74.88,70.0,90.0,76.0,23.0,41.0,90.0,22.0,56,5.1,274,988.7,12,90.0,2026-02-13T12:17:06.460076
"Gole Bazar, Katni - MPPCB",Katni,23.5,80.23,140.0,134.0,33.0,38.0,48.0,140.0,26.8,46,2.6,254,971.7,12,140.0,2026-02-13T12:17:06.460076
"Gomti Nagar, Lucknow - UPPCB",Lucknow,26.87,81.01,128.0,94.0,8.0,11.0,31.0,128.0,23.9,47,8.8,289,1002.7,12,128.0,2026-02-13T12:17:06.460076
"Govindh Bhavan Colony, Jabalpur - JMC",Jabalpur,23.16,79.97,50.0,61.0,11.0,5.0,20.0,61.0,27.4,38,3.6,315,968.9,12,61.0,2026-02-13T12:17:06.460076
"Govt. Girls Inter College, Kashipur - UKPCB",Kashipur,29.21,78.96,97.0,86.0,13.0,0.0,30.0,97.0,21.0,71,8.0,252,988.1,12,97.0,2026-02-13T12:17:06.460076
"Govt. High School Shikarpur, Patna - BSPCB",Patna,25.59,85.23,123.0,135.0,27.0,6.0,71.0,135.0,25.4,43,7.2,288,1008.9,12,135.0,2026-02-13T12:17:06.460076
"Govt. Higher Secondary School, Milupara - CECB",Milupara,22.19,83.52,0.0,74.0,27.0,14.0,27.0,74.0,31.0,23,9.2,296,984.0,12,74.0,2026-02-13T12:17:06.460076
"Gulzarpet, Anantapur - APPCB",Anantapur,14.68,77.59,72.0,68.0,0.0,11.0,35.0,72.0,29.8,27,14.4,86,975.5,12,72.0,2026-02-13T12:17:06.460076
"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,24.76,84.37,0.0,90.0,0.0,0.0,102.0,102.0,25.3,52,4.7,360,1002.5,12,102.0,2026-02-13T12:17:06.460076
"Gyaspur, Ahmedabad - IITM",Ahmedabad,22.98,72.55,173.0,167.0,104.0,80.0,49.0,173.0,31.4,35,3.4,58,1009.5,12,173.0,2026-02-13T12:17:06.460076
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,28.81,76.14,150.0,115.0,31.0,2.0,9.0,150.0,22.8,49,7.1,294,991.3,12,150.0,2026-02-13T12:17:06.460076
"HB Colony, Vijayawada - APPCB",Vijayawada,16.54,80.59,70.0,70.0,15.0,17.0,34.0,70.0,30.2,40,6.4,117,1012.3,12,70.0,2026-02-13T12:17:06.460076
"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,30.94,76.8,164.0,161.0,37.0,59.0,79.0,164.0,23.0,53,7.3,281,966.1,12,164.0,2026-02-13T12:17:06.460076
"Hadapsar, Pune - IITM",Pune,18.5,73.93,0.0,0.0,82.0,0.0,88.0,88.0,31.3,32,10.1,94,951.3,12,88.0,2026-02-13T12:17:06.460076
"Hakimapada, Angul - OSPCB",Angul,20.83,85.1,139.0,130.0,60.0,48.0,89.0,139.0,29.8,38,8.6,90,999.1,12,139.0,2026-02-13T12:17:06.460076
"Hardev Nagar, Bathinda - PPCB",Bathinda,30.23,74.91,27.0,62.0,16.0,13.0,78.0,78.0,22.8,51,4.7,293,991.8,12,78.0,2026-02-13T12:17:06.460076
"Hathkhoj, Bhilai - CECB",Bhilai,21.22,81.41,59.0,70.0,61.0,77.0,55.0,77.0,29.3,34,6.3,77,980.6,12,77.0,2026-02-13T12:17:06.460076
"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,12.21,76.37,60.0,86.0,0.0,3.0,24.0,86.0,29.1,38,17.4,77,934.2,12,86.0,2026-02-13T12:17:06.460076
"Hebbal, Bengaluru - KSPCB",Bengaluru,13.03,77.59,0.0,80.0,42.0,12.0,40.0,80.0,28.7,21,11.9,85,915.4,12,80.0,2026-02-13T12:17:06.460076
"Hirawadi, Nashik - MPCB",Nashik,20.02,73.81,83.0,97.0,0.0,23.0,0.0,97.0,29.7,34,10.0,116,949.3,12,97.0,2026-02-13T12:17:06.460076
